,City Name,City Number,Latitude,Longitude,Temperature,Max Temperature,Humidity,Cloudiness,Wind Speed
0,Srivardhan,1255619,18.03,73.02,297.8,297.8,89,16,3.0
1,Rafai,236524,4.95,23.92,293.8,293.8,96,11,0.86
2,Ushuaia,3833367,-54.81,-68.31,280.15,280.15,99,75,2.6
3,Boden,606531,65.83,21.69,273.15,273.15,85,0,2.6
4,Jamestown,2069194,-33.21,138.6,283.7,283.7,72,74,3.78
5,Puerto Ayora,3652764,-0.74,-90.35,293.49,294.15,68,75,7.7
6,Thompson,6165406,55.74,-97.86,290.15,290.15,51,20,1.5
7,Albany,5106834,42.65,-73.75,294.72,298.15,73,1,2.1
8,Charters Towers,2171722,-20.07,146.27,297.6,297.6,42,38,5.9
9,Grand Gaube,934479,-20.01,57.66,295.26,295.37,83,40,8.2
10,Busselton,2075265,-33.64,115.35,286.63,288.15,64,51,2.68
11,Kiunga,2093846,-6.12,141.3,300.4,300.4,72,63,2.17
12,Santa Fe,3836277,-31.62,-60.7,290.93,290.93,39,0,4.92
13,Kodiak,4407665,39.95,-94.76,291.52,293.15,93,1,2.6
14,Anadyr,2127202,64.73,177.51,275.55,275.93,64,20,3.0
15,Pisco,3932145,-13.71,-76.2,289.99,290.15,82,0,7.2
16,Mahebourg,934322,-20.41,57.7,295.29,295.37,83,40,8.2
17,Kapaa,5848280,22.08,-159.32,302.78,304.15,70,20,4.1
18,New Norfolk,2155415,-42.78,147.06,285.81,286.15,47,40,2.6
19,Solnechnyy,2016307,50.72,136.64,286.2,286.2,68,0,1.54
20,Mataura,6201424,-46.19,168.86,287.04,287.04,57,33,4.92
21,Bukama,217834,-9.2,25.85,293.2,293.2,70,31,1.09
22,Nanortalik,3421765,60.14,-45.24,277.2,277.2,87,0,1.13
23,Ribeira Grande,3372707,38.52,-28.7,296.4,296.4,86,85,10.87
24,Burnie,2173125,-41.05,145.91,285.93,285.93,66,61,4.47
25,Vitim,2013375,59.44,112.57,276.1,276.1,92,94,2.63
